,Video,FPS
0,Fco1CMgOadI.005.mp4,29.97002997002997
0,r1YAW67aevY.000.mp4,24.0
0,Kmrd1MsZKmQ.000.mp4,29.97002997002997
0,kppgmuWEv-A.001.mp4,25.0
0,bTLTLzXehPE.003.mp4,30.0
0,AZj2VoCcayA.000.mp4,24.063
0,38fE5B4ghw0.003.mp4,29.97002997002997
0,3VTL2kFt17M.000.mp4,29.97002997002997
0,geXpIfaFzF4.003.mp4,30.0
0,niWi1hcuSmo.005.mp4,29.97002997002997
0,rG8D-A2F8xg.004.mp4,30.0
0,Ft0ahViXZPc.001.mp4,29.97002997002997
0,0kg6pmbSN6A.001.mp4,30.0
0,gWCgqVn3m3k.000.mp4,29.97002997002997
0,t899haDGi38.002.mp4,29.97002997002997
0,YPMffqhP0C8.000.mp4,29.818
0,O3_j0d7mq7k.001.mp4,29.97002997002997
0,jVGTEDAYWZ8.003.mp4,25.0
0,mZ2CHgzwDt0.001.mp4,23.976023976023978
0,kAjvzIWWrWA.005.mp4,23.976023976023978
0,xcMwMi4fdis.002.mp4,30.0
0,gUyH1qvbOZA.004.mp4,29.97002997002997
0,r1v6EmZv7-o.001.mp4,25.0
0,R5uXsQsO6Uo.002.mp4,23.976023976023978
0,Qu81v9Aybv4.004.mp4,29.97002997002997
0,c3SQSM9OIsA.005.mp4,29.97002997002997
0,dLltwqkvsNg.002.mp4,30.0
0,xRhUBifOWiI.001.mp4,25.0
0,iFSF6v3xw_k.002.mp4,29.97002997002997
0,4T9UUWWRE94.000.mp4,29.97002997002997
0,0RLFM1ehSFM.000.mp4,25.0
0,mpk5Ubw2fj8.004.mp4,30.0
0,XFpzukISe6s.005.mp4,30.0
0,HTF8k56_Oxo.004.mp4,29.97002997002997
0,M20gRMBy-4I.000.mp4,25.0
0,B1efbNxLPe8.005.mp4,29.97002997002997
0,Lq4uvcHNiy8.000.mp4,30.0
0,mnRuiwFx_Z8.002.mp4,30.0
0,3WPXm_5f4Lw.002.mp4,29.97002997002997
0,xHb5_bc1JOA.003.mp4,30.0
0,tcmYlyeqwuI.004.mp4,29.97002997002997
0,1cqwKxx6GF8.001.mp4,29.97002997002997
0,VIhStXxpAr0.001.mp4,29.97002997002997
0,sOkGz6gEmGk.002.mp4,30.0
0,yBMuZWldxLk.001.mp4,29.97002997002997
0,sNs4yCA11wk.002.mp4,29.97002997002997
0,E3z1D7CKoOA.005.mp4,30.0
0,ztyBhnjtrz0.002.mp4,14.0
0,jq1dLOVUQJA.000.mp4,29.97002997002997
0,5Wfa94_5Psg.002.mp4,29.97002997002997
0,12lqQE6oPNE.001.mp4,30.0
0,AlEqtGWa43g.005.mp4,30.0
0,9cj8rrj1wSk.000.mp4,29.97002997002997
0,300gK3CnzW0.002.mp4,28.579
0,JEualxMkaE4.002.mp4,29.97
0,ixPqs7L8oAE.004.mp4,29.97002997002997
0,ff-3k-nzoXA.004.mp4,25.0
0,cvg03XGFjCk.002.mp4,29.97002997002997
0,8Z6PrQdqffA.001.mp4,30.0
0,jFx6AEw6viQ.005.mp4,14.337845791642142
0,RW4a2ERzTO8.000.mp4,23.976023976023978
0,AV7aKrAs-kM.005.mp4,25.0
0,RDOngWykAQU.002.mp4,29.97002997002997
0,fsaslN7xV-w.000.mp4,30.0
0,lLWOcztaIBI.002.mp4,23.976023976023978
0,squHxV3QXlQ.002.mp4,29.97002997002997
0,idsEawKW4X8.004.mp4,24.0
0,r4BGKIXrD9c.005.mp4,29.97002997002997
0,F0_EI_X5JVk.004.mp4,30.0
0,3GylAjrajHs.003.mp4,25.0
0,PsqpkFKX8co.002.mp4,30.0
0,v68FyWS-Q9s.002.mp4,30.0
0,TNjEJGdqmH0.002.mp4,15.098
0,3zAyM2edy1g.004.mp4,30.0
0,EiXQ9RErt6c.003.mp4,29.97002997002997
0,nskJh7v6v1U.005.mp4,25.0
0,3Q3SB1dVAng.000.mp4,29.97002997002997
0,f7E26XfU8rw.002.mp4,30.0
0,om-9kFEKJIs.000.mp4,30.0
0,GwKmjEb3qN0.004.mp4,29.938
0,aFVFvJNnFt0.004.mp4,30.0
0,Y1LrgyCJtpU.001.mp4,30.0
0,qr1C43Ylavg.001.mp4,23.976023976023978
0,3df_Uk9EmwU.001.mp4,29.97002997002997
0,KO7ZGXwPu-Y.000.mp4,29.97002997002997
0,PTV5TBVRHxo.002.mp4,29.97
0,9CPKW0sqR3E.001.mp4,29.97002997002997
0,U-PRay-woXU.005.mp4,25.0
0,ROTx-0q1F9M.004.mp4,29.97002997002997
0,O2wMPdp2-Is.002.mp4,29.809
0,TmpP2fXeVtk.003.mp4,25.0
0,orlXEgAepGo.002.mp4,10.293
0,p5QXPhJS8Ks.005.mp4,29.97002997002997
0,VZ6jhnbk-5g.001.mp4,30.0
0,NI-tZF3gfes.003.mp4,25.0
0,Jog1-pYOSD0.000.mp4,29.97002997002997
0,xun35caJTQI.005.mp4,29.97002997002997
0,fpyBDfh7qF0.004.mp4,29.97
0,8-OKP1nf19E.001.mp4,23.976023976023978
0,uCJNAX_b9mc.000.mp4,25.0
0,4RoZPrjRQZE.000.mp4,29.97002997002997
0,6TkMavTyimI.000.mp4,29.97002997002997
0,4XdZDodpzac.000.mp4,15.151
0,pQy4omHIf7o.001.mp4,29.97002997002997
0,wVpjBxCirAQ.001.mp4,30.0
0,g0Zlp-F6Z6E.001.mp4,29.97002997002997
0,FvjIziLzffo.004.mp4,23.976023976023978
0,13XlKeC_p3U.000.mp4,29.97002997002997
0,eAkWSjU-JyY.002.mp4,29.97002997002997
0,7wsksuXYoMY.002.mp4,30.0
0,W2AB3UUyvwI.002.mp4,30.0
0,Wx_oe0SxD9w.003.mp4,24.0
0,LuLUAwn0aWU.000.mp4,29.97002997002997
0,90p68AEmNMA.001.mp4,29.97002997002997
0,4VwcU0ROy5k.001.mp4,29.97
0,VUGWfw5PVLY.000.mp4,29.97002997002997
0,uMCRfie1lkc.003.mp4,29.97002997002997
0,khCsAN1Bk_I.002.mp4,30.0
0,1Gn4GX8miWQ.004.mp4,29.97002997002997
0,mlXZQ8dO0nQ.005.mp4,23.976023976023978
0,8XBprf4NyOg.005.mp4,29.97002997002997
0,wr4dP9MuHME.004.mp4,29.97002997002997
0,hd2-msVu9-g.000.mp4,29.97002997002997
0,LsqAIHhFpLE.002.mp4,29.97002997002997
0,bMY2DaFFwzU.005.mp4,29.97002997002997
0,AwNVGShHjvw.001.mp4,29.97002997002997
0,EgolOPjkkg8.000.mp4,23.976023976023978
0,HPEemWelY1E.004.mp4,29.97002997002997
0,nR0h3WFbPfA.001.mp4,29.97002997002997
0,lnawWqnGpMc.002.mp4,29.97002997002997
0,B4ducm9sydg.000.mp4,29.97002997002997
0,JoQRNgGQCgY.002.mp4,24.0
0,8py6SksNsZQ.005.mp4,29.97
0,0mym1CooiTE.004.mp4,25.0
0,pvvff396Rqg.004.mp4,29.97002997002997
0,6WSr4IW6cNI.003.mp4,29.97
0,m4-vvEeWP8s.000.mp4,23.976023976023978
0,1mfrM-FT-5E.000.mp4,30.0
0,2rV3Ibtdnvs.000.mp4,30.0
0,I53JQFtiQxM.000.mp4,29.97002997002997
0,qjU3GX3jgSY.003.mp4,30.0
0,ZhPQrqxo2mw.000.mp4,29.97002997002997
0,Xfmu-7JuDGg.004.mp4,29.97002997002997
0,84emxO86qa8.002.mp4,23.976023976023978
0,Cl7vQ9QR0es.005.mp4,29.97002997002997
0,IveGfOJ86wY.000.mp4,29.97002997002997
0,mhF4kYTlVUE.000.mp4,29.97002997002997
0,9J-KIPMQmqk.004.mp4,29.97
0,Gd08FYfFRtk.004.mp4,25.0
0,jxt1W2WRNHQ.002.mp4,29.97002997002997
0,SPD5fXHVyIk.002.mp4,29.97002997002997
0,kUv0BJQmKq0.002.mp4,30.0
0,m7zdWVDT-34.005.mp4,25.0
0,VtYPH6UsVnU.005.mp4,25.0
0,It0-yCwOc5k.002.mp4,29.97002997002997
0,RWfY3Xk0XPQ.003.mp4,30.0
0,On2c_8sU8Vw.002.mp4,29.97002997002997
0,tiVKJWLzmk4.001.mp4,30.0
0,be0DQawtVkE.000.mp4,30.0
0,WCLkd1Fek0w.001.mp4,29.97002997002997
0,F4yC1_n6ApY.002.mp4,29.97
0,7qGYGbIg45c.005.mp4,30.0
0,Sb1b8JMVhLs.000.mp4,25.0
0,40rn4A64Bdk.003.mp4,30.0
0,lyZZSU1ziCQ.001.mp4,29.97002997002997
0,LLP-oZfo8oE.002.mp4,30.0
0,LWylAwr9kJI.002.mp4,25.0
0,vAEqpUwBMJQ.005.mp4,29.97002997002997
0,dgoc29MVjfE.000.mp4,29.97002997002997
0,Bi3XVSF4rac.000.mp4,25.0
0,6uqXoPJSoPg.004.mp4,29.97002997002997
0,nfN9qJSVank.000.mp4,29.97002997002997
0,69BopbFc34U.001.mp4,29.97002997002997
0,NF8nb3SQPNg.002.mp4,30.0
0,rD6NViDdyOU.001.mp4,15.0
0,69BopbFc34U.000.mp4,29.97002997002997
0,IL5VgGakSNw.000.mp4,30.0
0,CpmR-91GxmY.000.mp4,29.97002997002997
0,LCafv-LfC3Y.003.mp4,30.0
0,S0QIXcQGG-g.002.mp4,29.97002997002997
0,vAEqpUwBMJQ.004.mp4,29.97002997002997
0,6uqXoPJSoPg.005.mp4,29.97002997002997
0,8hW6WfYBP18.001.mp4,25.0
0,SUY_HDzgvGA.003.mp4,29.97002997002997
